Node Number,LOCX (),LOCY (),LOCZ(),Equivalent (von-Mises) Stress (Pa)
1,237.5,37.5,37.5,2.41E+06
2,237.5,37.5,25,2.32E+06
3,237.5,37.5,12.5,2.41E+06
4,237.5,25,37.5,3.94E+06
5,237.5,25,25,3.86E+06
6,237.5,25,12.5,3.94E+06
7,237.5,12.5,37.5,4.41E+06
8,237.5,12.5,25,4.47E+06
9,237.5,12.5,12.5,4.41E+06
10,225,37.5,37.5,3.49E+06
11,225,37.5,25,3.33E+06
12,225,37.5,12.5,3.49E+06
13,225,25,37.5,3.50E+06
14,225,25,25,3.28E+06
15,225,25,12.5,3.50E+06
16,225,12.5,37.5,2.37E+06
17,225,12.5,25,2.28E+06
18,225,12.5,12.5,2.37E+06
19,212.5,37.5,37.5,3.89E+06
20,212.5,37.5,25,3.75E+06
21,212.5,37.5,12.5,3.89E+06
22,212.5,25,37.5,3.21E+06
23,212.5,25,25,3.02E+06
24,212.5,25,12.5,3.21E+06
25,212.5,12.5,37.5,3.28E+06
26,212.5,12.5,25,3.27E+06
27,212.5,12.5,12.5,3.28E+06
28,200,37.5,37.5,4.40E+06
29,200,37.5,25,4.31E+06
30,200,37.5,12.5,4.40E+06
31,200,25,37.5,3.16E+06
32,200,25,25,3.00E+06
33,200,25,12.5,3.16E+06
34,200,12.5,37.5,4.24E+06
35,200,12.5,25,4.22E+06
36,200,12.5,12.5,4.24E+06
37,187.5,37.5,37.5,5.10E+06
38,187.5,37.5,25,5.04E+06
39,187.5,37.5,12.5,5.10E+06
40,187.5,25,37.5,3.16E+06
41,187.5,25,25,3.00E+06
42,187.5,25,12.5,3.16E+06
43,187.5,12.5,37.5,5.07E+06
44,187.5,12.5,25,5.03E+06
45,187.5,12.5,12.5,5.07E+06
46,175,37.5,37.5,5.90E+06
47,175,37.5,25,5.85E+06
48,175,37.5,12.5,5.90E+06
49,175,25,37.5,3.16E+06
50,175,25,25,3.00E+06
51,175,25,12.5,3.16E+06
52,175,12.5,37.5,5.90E+06
53,175,12.5,25,5.85E+06
54,175,12.5,12.5,5.90E+06
55,162.5,37.5,37.5,6.73E+06
56,162.5,37.5,25,6.69E+06
57,162.5,37.5,12.5,6.73E+06
58,162.5,25,37.5,3.16E+06
59,162.5,25,25,3.00E+06
60,162.5,25,12.5,3.16E+06
61,162.5,12.5,37.5,6.73E+06
62,162.5,12.5,25,6.69E+06
63,162.5,12.5,12.5,6.73E+06
64,150,37.5,37.5,7.58E+06
65,150,37.5,25,7.54E+06
66,150,37.5,12.5,7.58E+06
67,150,25,37.5,3.16E+06
68,150,25,25,3.00E+06
69,150,25,12.5,3.16E+06
70,150,12.5,37.5,7.58E+06
71,150,12.5,25,7.54E+06
72,150,12.5,12.5,7.58E+06
73,137.5,37.5,37.5,8.44E+06
74,137.5,37.5,25,8.41E+06
75,137.5,37.5,12.5,8.44E+06
76,137.5,25,37.5,3.16E+06
77,137.5,25,25,3.00E+06
78,137.5,25,12.5,3.16E+06
79,137.5,12.5,37.5,8.44E+06
80,137.5,12.5,25,8.41E+06
81,137.5,12.5,12.5,8.44E+06
82,125,37.5,37.5,9.31E+06
83,125,37.5,25,9.28E+06
84,125,37.5,12.5,9.31E+06
85,125,25,37.5,3.16E+06
86,125,25,25,3.00E+06
87,125,25,12.5,3.16E+06
88,125,12.5,37.5,9.31E+06
89,125,12.5,25,9.28E+06
90,125,12.5,12.5,9.31E+06
91,112.5,37.5,37.5,1.02E+07
92,112.5,37.5,25,1.02E+07
93,112.5,37.5,12.5,1.02E+07
94,112.5,25,37.5,3.16E+06
95,112.5,25,25,3.00E+06
96,112.5,25,12.5,3.16E+06
97,112.5,12.5,37.5,1.02E+07
98,112.5,12.5,25,1.02E+07
99,112.5,12.5,12.5,1.02E+07
100,100,37.5,37.5,1.11E+07
101,100,37.5,25,1.10E+07
102,100,37.5,12.5,1.11E+07
103,100,25,37.5,3.16E+06
104,100,25,25,3.00E+06
105,100,25,12.5,3.16E+06
106,100,12.5,37.5,1.11E+07
107,100,12.5,25,1.10E+07
108,100,12.5,12.5,1.11E+07
109,87.5,37.5,37.5,1.19E+07
110,87.5,37.5,25,1.19E+07
111,87.5,37.5,12.5,1.19E+07
112,87.5,25,37.5,3.16E+06
113,87.5,25,25,3.00E+06
114,87.5,25,12.5,3.16E+06
115,87.5,12.5,37.5,1.19E+07
116,87.5,12.5,25,1.19E+07
117,87.5,12.5,12.5,1.19E+07
118,75,37.5,37.5,1.28E+07
119,75,37.5,25,1.28E+07
120,75,37.5,12.5,1.28E+07
121,75,25,37.5,3.16E+06
122,75,25,25,3.00E+06
123,75,25,12.5,3.16E+06
124,75,12.5,37.5,1.28E+07
125,75,12.5,25,1.28E+07
