Node Number,LOCX*1000 (),LOCY*1000 (),LOCZ*1000 (),Equivalent (von-Mises) Stress (Pa)
1,-19,12.153,-62.073,6.85E+07
2,-19,-9.2543,-59.823,8.25E+07
3,-19,7.8718,-61.623,1.06E+08
4,-19,3.5903,-61.173,1.51E+08
5,-19,-0.69125,-60.723,1.56E+08
6,-19,-4.9728,-60.273,1.29E+08
7,-20,-9.1498,-58.829,6.63E+07
8,-19.707,-9.2237,-59.532,7.26E+07
9,-20,11.263,-60.974,5.12E+07
10,-20,-5.0672,-59.258,1.04E+08
11,-20,-0.98453,-59.687,1.40E+08
12,-20,3.0981,-60.116,1.68E+08
13,-20,7.1808,-60.545,1.43E+08
14,-19.763,11.838,-61.684,5.24E+07
15,-19,-20,-47.889,3.05E+07
16,-20,-19,-47.889,1.66E+07
17,-19.707,-19.707,-47.889,1.57E+07
18,-20,-18.269,-51.831,2.21E+07
19,-20,-16.175,-55.249,3.58E+07
20,-20,-12.994,-57.69,4.68E+07
21,-19,-13.448,-58.581,4.84E+07
22,-19,-16.918,-55.918,3.92E+07
23,-19,-19.203,-52.189,3.36E+07
24,-19,-20,-46.567,3.22E+07
25,-20,-19,-46.567,2.08E+07
26,-19.707,-19.707,-46.567,1.11E+07
27,-21.053,-19.002,-38.688,1.72E+07
28,-20.763,-19.712,-38.614,2.77E+07
29,-20.265,-19.001,-42.593,4.53E+07
30,-19.263,-20,-42.541,5.25E+06
31,-20,13.249,-42.078,2.41E+07
32,-20,11.76,-56.25,8.82E+07
33,-20,12.256,-51.526,1.20E+08
34,-20,12.682,-47.474,9.27E+07
35,-19,14.244,-42.183,2.23E+07
36,-19.707,13.953,-42.152,2.24E+07
37,-19,13.721,-47.155,8.25E+07
38,-19,13.199,-52.128,1.16E+08
39,-19,12.676,-57.101,1.29E+08
40,-8.5,-20,-47.889,1.06E+08
41,-15.5,-20,-47.889,8.63E+07
42,-12,-20,-47.889,1.02E+08
43,-8.5,-20,-44.272,1.67E+08
44,-7.934,-20,-42.508,2.20E+08
45,-20,-20,-38.339,1.31E+08
46,-16.122,-20,-40.124,4.95E+07
47,-12.087,-20,-41.519,1.07E+08
48,-20,-20,-38.584,8.36E+07
49,39,-9.2543,-59.823,7.30E+06
50,-14.167,-9.2543,-59.823,1.16E+08
51,-9.3333,-9.2543,-59.823,1.32E+08
52,-4.5,-9.2543,-59.823,2.21E+08
53,0.33333,-9.2543,-59.823,2.48E+08
54,5.1667,-9.2543,-59.823,2.41E+08
55,10,-9.2543,-59.823,1.63E+08
56,14.833,-9.2543,-59.823,1.61E+08
57,19.667,-9.2543,-59.823,1.16E+08
58,24.5,-9.2543,-59.823,6.61E+07
59,29.333,-9.2543,-59.823,3.79E+07
60,34.167,-9.2543,-59.823,2.05E+07
61,39,-20,-47.889,1.17E+07
62,39,-19.203,-52.189,1.07E+07
63,39,-16.918,-55.918,8.05E+06
64,39,-13.448,-58.581,7.00E+06
65,8.5,-20,-47.889,8.90E+06
66,12.857,-20,-47.889,4.66E+07
67,17.214,-20,-47.889,5.51E+07
68,21.571,-20,-47.889,4.97E+07
69,25.929,-20,-47.889,3.87E+07
70,30.286,-20,-47.889,2.54E+07
71,34.643,-20,-47.889,1.18E+07
72,8.5,-15.429,-57.313,9.01E+07
73,8.5,-17.889,-54.686,3.09E+07
74,8.5,-19.46,-51.448,1.11E+07
75,5.5,-12,-59.203,1.96E+08
76,7.7895,-13.215,-58.697,1.65E+08
77,-5.5,-12,-59.203,1.38E+08
78,-1.8333,-12,-59.203,1.07E+08
79,1.8333,-12,-59.203,1.33E+08
80,-8.5,-15.429,-57.313,8.13E+07
81,-7.7895,-13.215,-58.697,9.55E+07
82,-8.5,-19.46,-51.448,6.22E+07
83,-8.5,-17.889,-54.686,5.36E+07
84,-16.5,12.153,-62.073,9.78E+07
85,-16.5,38.508,-64.843,1.20E+06
86,-16.5,34.116,-64.382,7.74E+05
87,-16.5,29.723,-63.92,6.87E+06
88,-16.5,25.331,-63.458,9.81E+06
89,-16.5,20.938,-62.997,2.95E+07
90,-16.5,16.546,-62.535,5.85E+07
91,-3,38.508,-64.843,1.40E+06
92,-7.5,38.508,-64.843,1.02E+06
93,-12,38.508,-64.843,2.55E+06
94,-3,23.576,-63.274,7.94E+07
95,-3,27.309,-63.666,3.67E+07
96,-3,31.042,-64.058,7.15E+06
97,-3,34.775,-64.451,3.36E+06
98,3,23.576,-63.274,8.48E+07
99,-6.757,21.049,-63.008,7.45E+07
100,-8.7982,17.022,-62.585,1.08E+08
101,-8.6053,12.515,-62.111,2.61E+08
102,-6.2271,8.6746,-61.708,6.19E+08
103,-2.2676,6.475,-61.476,8.90E+08
104,2.2676,6.475,-61.476,9.19E+08
105,6.2271,8.6746,-61.708,6.52E+08
106,8.6053,12.515,-62.111,3.10E+08
107,8.7982,17.022,-62.585,6.68E+07
108,6.757,21.049,-63.008,5.01E+07
109,3,38.508,-64.843,1.97E+06
110,3,34.775,-64.451,2.20E+06
111,3,31.042,-64.058,9.38E+06
112,3,27.309,-63.666,4.57E+07
113,16.5,38.508,-64.843,1.67E+06
114,12,38.508,-64.843,3.21E+06
115,7.5,38.508,-64.843,1.38E+06
116,16.5,12.153,-62.073,8.23E+07
117,16.5,16.546,-62.535,2.01E+07
118,16.5,20.938,-62.997,2.38E+07
119,16.5,25.331,-63.458,2.02E+07
120,16.5,29.723,-63.92,1.39E+07
121,16.5,34.116,-64.382,1.37E+06
122,19,12.153,-62.073,3.26E+07
123,19,2.8955,-61.1,2.39E+08
124,19,8.0431,-61.641,4.96E+07
125,23,-1.1045,-60.68,1.33E+08
126,20.168,7.16E-02,-60.803,2.84E+08
127,39,-1.1045,-60.68,1.66E+06
128,35,-1.1045,-60.68,7.60E+06
129,31,-1.1045,-60.68,1.09E+07
130,27,-1.1045,-60.68,4.13E+07
131,39,-5.1794,-60.251,4.98E+06
132,-16.5,14.244,-42.183,2.03E+08
133,-18,14.087,-43.675,2.27E+08
134,-17.561,14.198,-42.62,2.23E+08
135,-18,12.31,-60.581,1.81E+08
136,-18,12.754,-56.355,2.47E+08
137,-18,13.199,-52.128,2.50E+08
138,-18,13.643,-47.901,2.18E+08
139,-17.561,12.199,-61.636,1.72E+08
140,-20,2.6864,-40.968,2.17E+08
141,-20,6.2074,-41.338,1.11E+08
142,-20,9.7284,-41.708,1.37E+08
143,20.016,2.6864,-40.968,2.87E+08
144,15.57,2.6864,-40.968,1.09E+08
145,11.124,2.6864,-40.968,7.59E+07
146,6.6776,2.6864,-40.968,1.05E+08
147,2.2314,2.6864,-40.968,1.31E+08
148,-2.2149,2.6864,-40.968,1.26E+08
